NO,SerialNumber,Model,ModelNumber,StartDate,AssemblyOrder,EndDate,Country
1,XXXN0001,Y220LC-9S,3873,2017-01-03,10,2017-01-07,Brazil
2,XXXN0002,Y160LC-9S,143,2017-01-03,20,2017-01-07,Brazil
3,XXXN0006,Y220LC-9S,3874,2017-01-03,30,2017-01-07,Brazil
4,XXXN0007,Y160LC-9S,144,2017-01-03,40,2017-01-07,Brazil
5,XXXN0008,Y220LC-9S,3875,2017-01-03,50,2017-01-07,Brazil
6,XXXN0009,Y220LC-9S,3876,2017-01-03,60,2017-01-07,Brazil
7,XXXN0010,Y140W-9,498,2017-01-03,70,2017-01-07,Belgium
8,XXXN0011,Y160LC-9S,145,2017-01-03,80,2017-01-07,Brazil
9,XXXN0027,Y220LC-9S,3877,2017-01-03,90,2017-01-07,Brazil
10,XXXN0028,Y220LC-9S(L/R),3878,2017-01-03,100,2017-01-07,Brazil
11,XXXN0029,Y220LCH,5037,2017-01-03,110,2017-01-08,Korea
12,XXXN0030,Y220LC-9S,3879,2017-01-03,120,2017-01-08,Brazil
13,XXXN0031,Y140W-9S,186,2017-01-03,130,2017-01-08,Cambodia
14,XXXN0032,Y140LC,637,2017-01-03,140,2017-01-08,Korea
15,XXXN0033,Y220LC-9S,3880,2017-01-03,150,2017-01-08,Brazil
16,XXXN0034,Y220LC-9S,3881,2017-01-03,160,2017-01-08,Brazil
17,XXXN0035,Y160LC-9S,146,2017-01-03,170,2017-01-08,Brazil
18,XXXN0036,Y220LC-9S,3882,2017-01-03,180,2017-01-08,Brazil
19,XXXN0037,Y140W-9,499,2017-01-03,190,2017-01-08,Belgium
20,XXXN0038,Y220LC-9S,3883,2017-01-03,200,2017-01-08,Brazil
21,XXXN0039,Y220LCH,5038,2017-01-03,210,2017-01-08,Korea
22,XXXN0040,Y220LC-9S,3884,2017-01-03,220,2017-01-08,Brazil
23,XXXN0041,Y220LC-9S,3885,2017-01-03,230,2017-01-08,Brazil
24,XXXN0042,Y220LC-9S,3886,2017-01-03,240,2017-01-08,Brazil
25,XXXN0043,Y160LC-9S,147,2017-01-03,250,2017-01-08,Brazil
26,XXXN0044,Y220LC-9S,3887,2017-01-03,260,2017-01-08,Brazil
27,XXXN0045,Y140W-9,500,2017-01-03,270,2017-01-08,Belgium
28,XXXN0046,Y220LC-9S,3888,2017-01-03,280,2017-01-08,Brazil
29,XXXN0047,Y220LC-9S,3889,2017-01-04,10,2017-01-08,Brazil
30,XXXN0048,Y220LC-9S,3890,2017-01-04,20,2017-01-08,Brazil
31,XXXN0049,Y180LC-9,103,2017-01-04,30,2017-01-08,Belgium
32,XXXN0050,Y210W-9(34),385,2017-01-04,40,2017-01-08,South_Africa
33,XXXN0051,Y220LC-9S,3891,2017-01-04,50,2017-01-08,Brazil
34,XXXN0052,Y160LC-9S,148,2017-01-04,60,2017-01-08,Brazil
35,XXXN0053,Y220LC-9S,3892,2017-01-04,70,2017-01-08,Brazil
36,XXXN0054,Y220LC-9S,3893,2017-01-04,80,2017-01-08,Brazil
37,XXXN0055,Y220LC-9S(L/R),3894,2017-01-04,90,2017-01-08,Brazil
38,XXXN0056,Y220LC-9S,3895,2017-01-04,100,2017-01-08,Brazil
39,XXXN0057,Y140W-9,501,2017-01-04,110,2017-01-08,Belgium
40,XXXN0058,Y220LC-9S,3896,2017-01-04,120,2017-01-09,Brazil
41,XXXN0059,Y220LC-9S,3897,2017-01-04,130,2017-01-09,Brazil
42,XXXN0060,Y220LC-9S,3898,2017-01-04,140,2017-01-09,Brazil
43,XXXN0061,Y220LC-9S,3899,2017-01-04,150,2017-01-09,Brazil
44,XXXN0062,Y210W-9(34),386,2017-01-04,160,2017-01-09,Algerie
45,XXXN0063,Y260LC-9A,476,2017-01-04,170,2017-01-09,Belgium
46,XXXN0064,Y180LC-9,104,2017-01-04,180,2017-01-09,Belgium
47,XXXN0065,Y220LC-9S,3900,2017-01-04,190,2017-01-09,Brazil
48,XXXN0066,Y220LC-9S,3901,2017-01-04,200,2017-01-09,Brazil
49,XXXN0067,Y220LC-9S,3902,2017-01-04,210,2017-01-09,Brazil
50,XXXN0068,Y210W-9(34),387,2017-01-04,220,2017-01-09,Algerie
51,XXXN0069,Y220LC-9S,3903,2017-01-04,230,2017-01-09,Brazil
52,XXXN0071,Y220LC-9S,3904,2017-01-04,240,2017-01-09,Brazil
53,XXXN0073,Y220LC-9S,3905,2017-01-04,250,2017-01-09,Brazil
